"i","lambda.1","mu.1","lambda.2","mu.2","p"
1,4.34649012381969,0.121680190542424,2.49293387940024,0.393470592146119,125.004613993482
2,1.06099720872323,0.00938391993992883,2.7373819896941,0.423940004364829,127.020275968149
3,4.00631637233437,3.57836458418903,2.08580304401718,0.619137917823416,125.784164160788
4,4.63302762098162,3.07088818876911,2.44263775393581,0.474127244892865,127.217569679416
5,4.16716751254825,2.39494787680388,2.41182097574825,0.0704755596241592,129.244340483067
6,4.74081837394094,2.59905835470797,2.6945535066038,0.0720095389491225,127.472806079962
7,4.29259792218343,2.69573554015694,2.05963341288092,0.124616611224577,128.545421260872
8,4.98621573117632,3.92432293222377,2.01348783891671,0.529959375484289,125.200860099194
9,4.50369576136333,4.52580455611951,2.21715284906358,0.598006468720535,123.454198867157
10,5.73267315408835,3.68527378827109,1.93594854715852,0.230463185406614,124.112505911599
11,4.71636919643763,2.6109489088123,1.95533382991819,0.773302713331476,126.101745050362
12,3.54174158696305,1.81057690799519,2.68009079002786,0.552058812050891,130.373115582388
13,3.34741687909213,1.71510476007752,2.54035489085005,0.195497020793784,131.174700399982
14,3.14922100754274,1.02913022482833,2.09108666238764,0.396301226687093,131.939556768147
15,3.1524760607604,1.23096751934106,3.1480482485968,0.468126064307136,131.474295037389
16,3.91893430545331,2.15848941081343,1.64223730514186,0.414137425107196,128.435642830788
17,3.55733656737532,1.07225147318182,3.74971573185504,0.466695431713338,129.730393514329
18,3.10206753710534,1.08104244316561,1.91261356819074,0.993618856860723,130.373851226362
19,2.97592777980542,0.741351402153292,2.28990721141085,1.31993855956488,131.012947121739
20,2.75241435011224,0.681398488553227,3.98529249625856,1.9948444625832,130.996273370269
21,2.24486722420033,0.530709353930283,3.99311817523863,1.0414798990557,131.662618272469
22,2.73142765535177,0.145094830189078,3.52982455897852,1.01440513776098,132.644311771316
23,2.84363626897131,0.0906647681588961,2.90756353809112,0.674599451725849,133.080988508818
24,2.52382887240955,0.70599162755747,3.07767388203206,1.26916234313092,132.12722908519
25,2.40088864955539,0.657428418967985,3.44965483218801,1.2810731459189,132.009911145019
26,2.68572987903884,0.557734139568602,3.24562492656826,0.278917768391502,132.990047886462
27,2.21549456068002,0.163384646216282,2.22998986055494,0.137124417503522,134.649168334251
28,2.16220866234264,0.679322996666098,2.25767728926553,0.370099807554514,132.743733531367
29,2.09841444455209,0.157940579304332,2.5767897549454,0.883578602315661,133.581419932063
30,3.01157494192055,0.893056087678842,3.83014529624424,0.674591043979967,131.091398142412
31,3.20228535390302,0.16585283870616,2.6583516261629,0.619645044839843,131.838596629099
32,1.67804280597495,0.628614729617578,2.36877140132062,1.71789299797161,128.054469275426
33,2.7094039362603,0.513051475275795,2.7130524839423,1.33735765964454,132.180999883767
34,2.45408320192055,0.103873676088252,2.38788418932421,1.59006325070458,132.184887211726
35,2.12813260520742,0.732914796254296,4.58183735298254,1.9188371527783,129.699098921746
36,2.72957083756667,1.48675391587642,3.23989593680068,1.07607972830885,130.359220054274
37,3.38653298273647,1.27438176764069,2.31756585901038,0.633552580616381,131.021513852339
38,2.60022158067946,0.527444735891443,3.02842641344595,0.552365244912074,133.197234169315
39,2.88493196489541,0.193565186495239,2.34584686080843,0.821216284840951,132.626118321478
40,1.93108955508205,0.502558157060926,4.22977709545896,1.33055428075383,130.454504622728
41,1.95199837347759,0.16295902529061,3.57823013949659,1.93181828447215,131.967210925027
42,1.98670657690336,0.0799028873100306,3.26704720357184,0.843039917885831,133.47018040327
43,1.79542981820047,0.54350261445694,2.51202795969681,1.91863595617794,129.072110233041
44,2.6408401984835,0.123001830808025,3.11050952521788,1.33065943273242,132.841266777735
45,2.42932616440543,0.398195218439937,3.34411587167538,0.344671283698934,133.263911081158
46,2.16223848880494,0.0724396611664808,2.79771963457577,0.4258074416382,134.405748832935
47,2.21702069242697,0.21942576521785,3.12132580138549,1.95717350101012,132.147944591441
48,1.98301648244071,0.145235384420785,3.58816972763979,1.23016881449033,132.717632560938
49,2.40754955100747,0.169694642185614,3.14762661701901,1.33624114264979,133.115642493295
50,1.73108024707685,0.13095563339339,2.04443861429014,1.59823324254504,130.210856567494
51,2.05518173725369,0.0487804624976497,4.35394146604842,0.924718842571525,132.06299084788
