"i","lambda.1","mu.1","lambda.2","mu.2","p"
1,2.19164185337722,0.521945435405722,7.31083423495291,5.17516424165207,124.337839390858
2,1.89311799821444,0.52738807477198,8.09369623996316,1.61357926088951,123.938734123295
3,1.72533275908791,0.000655732333625274,5.54985207377466,4.05564962149501,127.006561164639
4,1.7698369101854,0.0293184246262,4.44271145486272,4.08905494100736,126.278009557024
5,1.80942929086741,0.126982248871091,3.92020383451598,0.806648677486199,129.782368062712
6,1.76803216286458,0.255278413760003,3.7198131477693,0.292294423775876,129.898172958987
7,1.94569412536908,0.173874661009745,6.40428741078356,2.15378573574468,127.250252543204
8,1.82054179493933,0.439901867425787,3.98822197047992,1.44835343636542,128.208754426974
9,2.39481818614657,0.457061267804168,3.34319523808078,0.670482170324423,128.120466424965
10,2.13401916545479,0.782592435148761,3.18853223188778,0.211745826575177,128.52605249242
11,2.73662127537317,0.562213756949858,3.04974243319591,0.146225696698226,127.100785101185
12,2.98105276072527,1.14105978954139,3.68326636620329,0.139072711562929,126.152056398924
13,3.17555153667125,1.93142781375463,3.60461698854339,0.228675541294259,124.815731513284
14,2.74590394049081,1.88770812123054,4.71497066360895,1.21944195887891,124.043306484789
15,2.49428103064782,1.56248899189954,2.78336441433054,1.01740054001107,124.745037284266
16,2.39817746352999,0.704990235256164,2.6307985283434,0.493296348891144,127.566516920708
17,2.09106512376237,0.786880954480392,3.02997542303052,0.956946493046763,127.4481428851
18,1.69731919182594,0.587223597241156,3.63329091679767,0.482849980164982,128.247171458302
19,1.7098692881096,0.651430198460677,4.31814936317965,0.108725640560203,127.971780621588
20,1.85099769792649,0.599798051764319,4.75057112656064,1.62411041496586,127.406085245857
21,1.91229479614775,0.277991207628878,4.5365676872199,1.70747272978413,128.461800182825
22,2.26485996368936,0.569676247152492,4.57566721872422,0.805682274067997,128.032656199373
23,2.16129908581859,0.0673794061708683,3.29641223426438,0.232449508834639,129.68119089843
24,1.05608611201531,0.134758931413211,4.76810706560495,0.444202210680408,125.35136095675
25,1.86586961747742,0.425915836284093,6.16192910189269,2.28832668883135,126.813029760394
