"i","lambda.1","mu.1","lambda.2","mu.2","p"
1,4.7633253290427,3.23854988079415,1.04548187332123,0.0644791576427032,152.382406158126
2,5.29197698290605,3.80779158321362,4.88349238818332,0.00144487779621098,159.369503860378
3,5.88717774997117,3.28310790130799,4.07563999851292,0.371566945326891,159.820902726417
4,6.25014702634344,2.24191864107155,2.26790630798885,1.32396535416417,155.609289387869
5,5.23462172681188,2.91914011135193,7.15877746915129,8.19072973467104,154.490838664459
6,6.20226271403324,2.48021982192821,9.26148845224845,1.86024269736393,154.814780005721
7,6.64582459713081,4.29789138248975,9.09056678473955,4.92277762520682,155.6769418076
8,6.64633043631593,2.37848736691169,5.86022081818395,0.959520541006353,157.323981699457
9,7.26175856627929,7.22494062937595,5.57507094569041,0.754974753205286,155.952457206514
10,9.07345754694171,7.2459492217269,5.63360253402882,0.15917414551111,155.996822555442
11,7.95401058327377,7.0037795807577,3.01520962120325,0.203516643055016,156.868512248443
12,7.91698327095135,5.74874552802312,1.88760647164408,1.56683843646572,152.747658034601
13,6.39850717834083,2.14617459627319,2.84813499521171,0.244998317513965,157.855792798047
14,6.37416132297081,4.53860495430966,3.46868017560166,0.602651831760189,158.785039061933
15,7.11654114108826,4.35687827964003,3.22237338905142,0.530930936489019,158.113125920781
16,6.88919331241338,4.59343006219268,2.95666795138286,0.459801309000269,158.153453451338
17,6.32653257526356,2.19980459370644,4.70282682180941,0.327130838893423,158.657956111614
18,5.10745054143215,2.20847221733995,6.19301040257573,1.65821178596049,159.23403622253
19,5.26174335941255,2.18208349975158,5.86876170527882,0.433291019359337,159.508876175296
20,4.54403887078093,0.659950959079632,3.5389717985199,0.0357680724381385,160.768151773369
21,3.59882992286609,1.31217628070975,4.71888371902929,0.00151115400264412,159.996696717813
22,4.99347516060711,2.76809519799196,4.9865457187675,1.93164393267571,159.298903911991
23,5.62763122673685,2.22716165942369,4.24038912419973,1.042271319453,159.568906271427
24,4.18225303738566,0.796496770537542,4.88046391905818,0.617657898019721,160.628241982706
25,3.94498721142874,0.485884672103858,5.94450105377203,1.47926158884156,159.91828194323
26,4.08585580679269,1.16346974156907,5.40680975334887,3.63683220917674,158.715389220395
27,4.05613637649593,1.97343607663426,5.30120909173027,1.49555448210136,159.32150803879
28,4.10026917171463,1.31523165517818,4.8726919515652,1.11530925293136,160.209266261105
29,5.76726629234082,1.77104282166043,5.41679802977363,1.9930246794558,158.552676421552
30,3.53715671899437,1.1586749891816,4.73167906883493,1.03668560212766,159.639392334978
31,4.29434986672741,0.239889727077192,4.77551574262707,3.31227413995868,158.722663169464
32,4.60386481006648,1.17706003952925,5.90886458636623,1.60213394313181,159.720061417012
33,5.73455111754897,0.124126853161637,4.66787595337619,1.33601783151921,157.068105628653
34,2.52914380603089,0.218208921992872,5.56273043704438,2.05191556192843,156.968885185095
35,3.55000106934423,1.08654320363577,7.23613055192068,0.533394348851993,157.884891854994
36,5.49693609336857,0.116558712714886,4.9988931920505,0.125046639861737,158.154993006468
37,3.41653137042501,0.327836239109055,4.25005776073697,0.237872915639144,160.642232880546
38,4.0224524342439,0.610164093565168,3.81400721399977,0.0391109860856768,161.066814909866
39,3.95864666287531,0.295173762061231,4.34130293388373,0.392639693774921,160.914946864575
40,3.95047105998481,0.281800661378255,3.88409804370839,0.832645844253187,160.578824618444
41,3.56455633471932,0.308253711525856,4.72363740449712,0.556737030446394,160.595136035106
42,4.05920146025893,1.0380508000732,3.75338467763291,0.0820868147311388,160.904072212159
43,3.9791835611226,0.655009668809648,3.383032876822,0.116649752047206,160.838140493077
44,4.82488612449028,1.48620987164045,2.72532018119065,0.0333889069641614,160.001238380932
45,3.29245969009374,1.97551787524089,5.77567949115336,3.62974662502959,156.038573365184
46,6.164105431625,3.07221247305836,6.86099058437052,1.01215630483277,157.823174077548
47,5.6244033818191,2.03303643953682,5.74740717474434,2.2285366861259,158.762865350051
48,3.99344122203491,2.1421751863679,5.95023875131629,2.92845924806576,158.218856382809
49,4.71084188603997,0.888393021143616,5.27877020068972,5.33806269086792,156.699976029842
50,4.15712860868086,2.34196985742495,10.2026859178333,9.15927115972251,154.607861627711
51,4.85217315097621,0.73135293335866,10.4261657221579,8.07404583096025,155.665535417186
52,4.87378988902871,0.621596253796031,12.6717853526334,7.73856724531985,154.143906645579
53,3.5356621901817,0.442089436906633,8.21188640999208,8.05951396130569,155.876952817412
54,3.38532075358229,0.530071052574304,11.8934457533545,7.10098942790561,154.835517020149
55,4.62244289662184,1.10560699763867,9.30316221615129,6.58072145203677,156.862489651285
56,4.81749583480451,3.43972374685019,9.41546921555458,5.82055054261057,155.597334159326
57,5.33300612468969,0.603397422436508,5.40721337943015,4.73004447643175,156.288573035582
58,4.68026744968622,0.895159791146402,6.43772397481125,4.09682730828366,158.448828947671
59,4.68194066412507,2.30618487762025,6.38659686423313,0.27388857105085,159.044018101375
60,4.91660024207869,2.09942249746866,5.42334042062967,0.557562090216151,159.998126797589
61,5.47793207280519,3.86053123105774,5.47568083743217,2.368126948007,158.365637505374
62,6.60150912660269,2.40324011307611,5.21796943498994,1.50596064633293,157.61669308446
63,4.37977972415074,2.67697062439157,4.05346385977299,3.36448779815247,156.909592049374
64,3.8408446555783,3.07290754174391,4.32297203358473,1.19360015963654,157.13051237897
65,7.02613048756705,4.86993644549037,3.4637434156565,1.62762118114719,157.336195223517
66,6.90383749228157,3.56600719535261,5.45686367256103,2.13588579796814,157.612904873683
67,5.72947864428397,1.91041510316081,5.45069903533868,0.595672820208065,159.147119490646
68,4.009694106538,1.13833693184915,7.33480364883162,4.04593182641286,158.362904651027
69,4.94512841516325,2.5881705613418,6.58047368873561,2.63135838062811,158.684864739924
70,5.35834666518178,1.8318780745217,5.90083198988681,3.80650533764873,158.154431951823
71,5.88383966524478,2.58506915865786,3.39350620029833,8.45123769980204,145.815041764691
72,5.20151859996408,2.64609605289754,8.42809928538256,0.764384339743285,156.510873498298
73,4.86372557757021,0.482325051050378,10.2735432949091,7.83833522113598,155.607645788199
74,5.04454914329916,3.22505537927572,10.0698664477634,1.56069805457293,154.062524652256
75,6.20675328992225,4.2767318439087,3.58585534913971,1.77647407254931,157.906861829169
76,6.67216606916319,3.28925849090798,5.08196690396063,4.52388711198158,155.792932475134
77,6.6839274882379,4.7358772888537,4.965335323168,2.0278745486539,158.04953568539
78,7.28795509354978,5.06193518623043,5.55983434955148,1.9607343679069,157.535648442616
79,7.36102027417462,4.74802981097135,4.05152097899455,1.03025962719618,157.969740856586
80,4.60699927091993,0.0846311112502133,3.62271466972223,0.161516048329358,160.325523034405
81,3.97139226211255,0.727887229400723,1.77293951616883,0.167268591023477,157.727907909077
82,3.887644232223,0.102953763434304,2.9203260398296,0.281629616614891,160.33691603605
83,3.53091805943716,1.47203271991707,3.28329058311547,0.0382000951476502,159.568492892859
84,5.78433814346472,3.29441268616619,6.45200134994616,1.89725928298134,158.495893012315
85,6.22155083755871,4.41269962943678,5.98966159202227,1.61282314202311,158.224240808052
86,6.61188599921696,3.81204107675027,4.655310621298,4.48327960533028,155.681653485071
87,6.4913073431043,3.12624408008056,5.0636673726149,1.29486276107687,158.532622582298
